trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,HIPC,rayleigh_style,-59.4,19,361,4,10,hipc_rayleigh_style_sens_neg59_4,known_visit_g19_t10_n500.csv,00,18,3,0,19,0,0,0,0,0,45,38,7,102,2,known_visit_core_500,10,4,8
0,known_visit,HIPC,rayleigh_style,-59.4,19,361,4,10,hipc_rayleigh_style_sens_neg59_4,known_visit_g19_t10_n500.csv,01,33,7,0,34,0,0,0,0,0,103,67,36,47,0,known_visit_core_500,10,4,8
0,known_visit,HIPC,rayleigh_style,-59.4,19,361,4,10,hipc_rayleigh_style_sens_neg59_4,known_visit_g19_t10_n500.csv,02,0,0,0,1,0,0,0,0,0,1,1,0,146,2,known_visit_core_500,10,4,8
0,known_visit,HIPC,rayleigh_style,-59.4,19,361,4,10,hipc_rayleigh_style_sens_neg59_4,known_visit_g19_t10_n500.csv,03,0,0,0,1,0,0,0,0,0,1,1,0,140,8,known_visit_core_500,10,4,8
1,known_visit,HIPC,rayleigh_style,-59.4,19,361,4,10,hipc_rayleigh_style_sens_neg59_4,known_visit_g19_t10_n500.csv,00,0,0,0,1,0,0,0,0,0,1,1,0,224,6,known_visit_core_500,10,4,8
1,known_visit,HIPC,rayleigh_style,-59.4,19,361,4,10,hipc_rayleigh_style_sens_neg59_4,known_visit_g19_t10_n500.csv,01,26,5,0,27,0,0,1,1,0,147,54,93,85,0,known_visit_core_500,10,4,8
1,known_visit,HIPC,rayleigh_style,-59.4,19,361,4,10,hipc_rayleigh_style_sens_neg59_4,known_visit_g19_t10_n500.csv,02,17,4,0,18,0,0,0,0,0,66,36,30,165,0,known_visit_core_500,10,4,8
1,known_visit,HIPC,rayleigh_style,-59.4,19,361,4,10,hipc_rayleigh_style_sens_neg59_4,known_visit_g19_t10_n500.csv,03,3,1,0,4,0,0,0,0,0,18,8,10,212,1,known_visit_core_500,10,4,8
2,known_visit,HIPC,rayleigh_style,-59.4,19,361,4,10,hipc_rayleigh_style_sens_neg59_4,known_visit_g19_t10_n500.csv,00,0,0,0,1,0,0,0,0,0,1,1,0,123,7,known_visit_core_500,10,4,8
2,known_visit,HIPC,rayleigh_style,-59.4,19,361,4,10,hipc_rayleigh_style_sens_neg59_4,known_visit_g19_t10_n500.csv,01,14,3,0,15,0,0,0,0,0,37,30,7,94,0,known_visit_core_500,10,4,8
