experiment,algorithm,task_load,outcome,unit_of_analysis,terminal_jobs,completed_jobs,failed_jobs,timeout_jobs,completion_rate,n,mean,median,std,p95,minimum,maximum
experiment2,CBAA,10,cumulative_team_allocator_time_ms,scenario_trial,100,100,0,0,1.0,100,13.595343,12.87655,5.059062173686269,22.2702,5.3069,31.2082
experiment2,CBAA,10,maximum_cumulative_robot_allocator_time_ms,scenario_trial,100,100,0,0,1.0,100,5.486554,5.32175,2.1395454690719387,9.31206,1.9839,12.1702
experiment2,CBAA,10,allocator_calls_total,scenario_trial,100,100,0,0,1.0,100,81.07,76.0,26.019516761947223,126.1,36.0,166.0
experiment2,CBAA,10,maximum_robot_allocator_calls,scenario_trial,100,100,0,0,1.0,100,30.35,29.0,10.597669841083277,49.05,11.0,60.0
experiment2,CBAA,10,median_of_robot_call_medians_ms,scenario_trial,100,100,0,0,1.0,100,0.16202149999999998,0.16397499999999998,0.041782000985031,0.21542625,0.045325000000000004,0.28047500000000003
experiment2,CBAA,10,maximum_robot_call_p95_ms,scenario_trial,100,100,0,0,1.0,100,0.375208,0.35905,0.08481499138499257,0.48273999999999995,0.2248,0.812
experiment2,ACBBA,10,cumulative_team_allocator_time_ms,scenario_trial,100,100,0,0,1.0,100,29.866383,27.873350000000002,10.20327178703043,49.0401,13.421,64.8135
experiment2,ACBBA,10,maximum_cumulative_robot_allocator_time_ms,scenario_trial,100,100,0,0,1.0,100,10.752775999999999,10.1127,3.882266112583362,18.000249999999998,4.0955,20.4103
experiment2,ACBBA,10,allocator_calls_total,scenario_trial,100,100,0,0,1.0,100,108.2,105.5,41.48773702230965,188.25,42.0,237.0
experiment2,ACBBA,10,maximum_robot_allocator_calls,scenario_trial,100,100,0,0,1.0,100,40.44,40.0,14.863907883721481,64.1,14.0,78.0
experiment2,ACBBA,10,median_of_robot_call_medians_ms,scenario_trial,100,100,0,0,1.0,100,0.25125,0.2510625,0.05721365879337951,0.337885,0.15,0.386375
experiment2,ACBBA,10,maximum_robot_call_p95_ms,scenario_trial,100,100,0,0,1.0,100,0.6434099999999999,0.6413,0.1728020158061435,0.9160349999999999,0.325,1.0678
experiment2,PI,10,cumulative_team_allocator_time_ms,scenario_trial,100,100,0,0,1.0,100,71.20495700000001,69.49340000000001,24.332657776459893,123.98360499999998,28.5973,133.1829
experiment2,PI,10,maximum_cumulative_robot_allocator_time_ms,scenario_trial,100,100,0,0,1.0,100,29.018443,28.3544,10.469708885249375,48.969665,9.3099,57.0728
experiment2,PI,10,allocator_calls_total,scenario_trial,100,100,0,0,1.0,100,132.22,124.5,47.939477837723004,219.05,42.0,266.0
experiment2,PI,10,maximum_robot_allocator_calls,scenario_trial,100,100,0,0,1.0,100,54.37,53.0,18.89185330273664,89.1,14.0,110.0
experiment2,PI,10,median_of_robot_call_medians_ms,scenario_trial,100,100,0,0,1.0,100,0.47015625,0.47238749999999996,0.052992390150150406,0.55659,0.320825,0.611275
experiment2,PI,10,maximum_robot_call_p95_ms,scenario_trial,100,100,0,0,1.0,100,1.611817,1.6437,0.24710548438905908,1.9531399999999997,0.9843,2.399
experiment2,HIPC,10,cumulative_team_allocator_time_ms,scenario_trial,100,100,0,0,1.0,100,59.242851,59.06655,13.245939953358493,83.87933999999998,33.0507,92.4955
experiment2,HIPC,10,maximum_cumulative_robot_allocator_time_ms,scenario_trial,100,100,0,0,1.0,100,24.347833,24.5895,7.807465776455006,37.620155,10.7349,48.2727
experiment2,HIPC,10,allocator_calls_total,scenario_trial,100,100,0,0,1.0,100,116.36,112.5,34.15783921441724,173.05,51.0,213.0
experiment2,HIPC,10,maximum_robot_allocator_calls,scenario_trial,100,100,0,0,1.0,100,49.35,50.0,14.56325457575963,71.05,20.0,77.0
experiment2,HIPC,10,median_of_robot_call_medians_ms,scenario_trial,100,100,0,0,1.0,100,0.41800550000000003,0.398775,0.12278833416625226,0.6141249999999998,0.2272,0.89405
experiment2,HIPC,10,maximum_robot_call_p95_ms,scenario_trial,100,100,0,0,1.0,100,1.6423949999999998,1.56515,0.3427122868980759,2.320735,0.9331,3.2009
