experiment,algorithm,task_load,outcome,unit_of_analysis,terminal_jobs,completed_jobs,failed_jobs,timeout_jobs,completion_rate,n,mean,median,std,p95,minimum,maximum
experiment1,CBAA,5,maximum_robot_call_time_ms,scenario_trial,100,100,0,0,1.0,100,0.76153,0.35185,2.717620593311715,0.8667899999999997,0.1848,22.6324
experiment1,CBAA,5,team_summed_call_time_ms,scenario_trial,100,100,0,0,1.0,100,1.499509,1.0916000000000001,2.8710368117041978,1.7377549999999995,0.5802,24.4836
experiment1,ACBBA,5,maximum_robot_call_time_ms,scenario_trial,100,100,0,0,1.0,100,0.698392,0.5146,0.6640332168398405,1.430525,0.299,6.0358
experiment1,ACBBA,5,team_summed_call_time_ms,scenario_trial,100,100,0,0,1.0,100,1.9032740000000001,1.6828,1.0074634345942508,3.264949999999998,0.9234,9.1244
experiment1,PI,5,maximum_robot_call_time_ms,scenario_trial,100,100,0,0,1.0,100,1.667465,1.3526,1.050529118089806,3.6990699999999994,0.7256,7.8972
experiment1,PI,5,team_summed_call_time_ms,scenario_trial,100,100,0,0,1.0,100,4.819906,4.25445,1.7757499289214815,7.409269999999998,2.4319,13.8711
experiment1,HIPC,5,maximum_robot_call_time_ms,scenario_trial,100,100,0,0,1.0,100,0.579723,0.5309999999999999,0.28046387399658396,1.0683499999999995,0.2784,1.8209
experiment1,HIPC,5,team_summed_call_time_ms,scenario_trial,100,100,0,0,1.0,100,1.64493,1.6195499999999998,0.4891108819567245,2.3954899999999997,0.9222,3.7618
experiment1,DMCHBA,5,maximum_robot_call_time_ms,scenario_trial,100,100,0,0,1.0,100,0.910425,0.9680500000000001,0.17378576348743038,1.0897549999999998,0.4993,1.5092
experiment1,DMCHBA,5,team_summed_call_time_ms,scenario_trial,100,100,0,0,1.0,100,3.045098,3.2817,0.5036635067947326,3.55412,1.7743,4.146
experiment1,DGA,5,maximum_robot_call_time_ms,scenario_trial,100,100,0,0,1.0,100,130.024472,129.48355,9.003338772429217,144.593675,111.9045,156.0758
experiment1,DGA,5,team_summed_call_time_ms,scenario_trial,100,100,0,0,1.0,100,481.74462500000004,480.10465,31.044810112485433,535.872025,411.2013,561.2045
experiment1,CBAA,10,maximum_robot_call_time_ms,scenario_trial,100,100,0,0,1.0,100,0.39636200000000005,0.3651,0.1431865575345181,0.6289699999999998,0.2126,1.1714
experiment1,CBAA,10,team_summed_call_time_ms,scenario_trial,100,100,0,0,1.0,100,1.219747,1.1972,0.3206178607270214,1.7191749999999997,0.6782,2.5823
experiment1,ACBBA,10,maximum_robot_call_time_ms,scenario_trial,100,100,0,0,1.0,100,0.733197,0.69205,0.21468031645620744,1.1139249999999998,0.3835,1.885
experiment1,ACBBA,10,team_summed_call_time_ms,scenario_trial,100,100,0,0,1.0,100,2.374028,2.29035,0.6341536790897222,3.4695149999999995,1.3352,5.9417
experiment1,PI,10,maximum_robot_call_time_ms,scenario_trial,100,100,0,0,1.0,100,1.652737,1.65585,0.3509985446040217,2.1686549999999998,0.8631,3.6309
experiment1,PI,10,team_summed_call_time_ms,scenario_trial,100,100,0,0,1.0,100,5.646201,5.689299999999999,1.0195156799756253,6.946129999999999,3.279,9.331
experiment1,HIPC,10,maximum_robot_call_time_ms,scenario_trial,100,100,0,0,1.0,100,0.542195,0.5285500000000001,0.12263248484143113,0.74024,0.3288,0.9958
experiment1,HIPC,10,team_summed_call_time_ms,scenario_trial,100,100,0,0,1.0,100,1.807447,1.7532999999999999,0.4049680093251412,2.4288149999999997,1.1055,2.9415
experiment1,DMCHBA,10,maximum_robot_call_time_ms,scenario_trial,100,100,0,0,1.0,100,2.040142,2.07675,0.21176806789933694,2.2785349999999998,1.2221,2.6056
experiment1,DMCHBA,10,team_summed_call_time_ms,scenario_trial,100,100,0,0,1.0,100,7.310829999999999,7.566050000000001,0.8805363648356493,8.29336,4.677,9.4391
experiment1,DGA,10,maximum_robot_call_time_ms,scenario_trial,100,100,0,0,1.0,100,243.33824700000002,241.3827,14.675476627005644,268.77304499999997,211.8482,279.2807
