trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_index,target_x,target_y,first_completion_time_s,first_completion_sim_time_s,first_found_by_robot,first_finder_robot_id,total_visits,duplicate_visits,completed,trial_status,stage,environment,parameter,value,setting,algorithm_key,canonical_algorithm,dga_iterations,comm_label,target_count_condition,scenario_generation_seed,scenario_sha256,out_dir,run_id
0,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,1,10,12,19.742377433264068,19.742377433264068,02,02,1,0,True,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,objective_tuning_target_load_pilot_25/results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
0,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,2,15,17,25.947896820996753,25.947896820996753,03,03,1,0,True,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,objective_tuning_target_load_pilot_25/results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
0,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,3,16,5,34.5374755429016,34.5374755429016,00,00,1,0,True,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,objective_tuning_target_load_pilot_25/results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
0,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,4,18,18,33.384314927857034,33.384314927857034,03,03,1,0,True,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,objective_tuning_target_load_pilot_25/results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
0,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,2,11,3.9217205509231037,3.9217205509231037,02,02,2,1,True,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,objective_tuning_target_load_pilot_25/results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
1,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,1,6,10,15.859571201472136,15.859571201472136,01,01,1,0,True,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,objective_tuning_target_load_pilot_25/results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
1,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,2,3,16,7.378000259627306,7.378000259627306,03,03,1,0,True,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,objective_tuning_target_load_pilot_25/results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
1,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,3,7,16,14.415324696662232,14.415324696662232,03,03,1,0,True,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,objective_tuning_target_load_pilot_25/results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
1,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,4,10,1,18.00483920888599,18.00483920888599,00,00,1,0,True,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,objective_tuning_target_load_pilot_25/results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
1,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,0,8,2.09803265099752,2.09803265099752,01,01,1,0,True,completed,target_load_horizon_pilot,known,commitment_horizon,1,h1,acbba,ACBBA,,bernoulli_025,5,2026082105,e4ebd836af9857813608ca9f91cfef30ea406653734842494b8720b8bab73606,objective_tuning_target_load_pilot_25/results/raw/targets_5/h1/bernoulli/targets_5_acbba_h1_bernoulli_025,targets_5_acbba_h1_bernoulli_025
