trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(11,7);(17,15);(14,5);(8,0);(14,15);(7,5);(2,6);(3,8);(12,12);(16,5);(10,14);(3,18);(10,12);(5,18);(13,14);(4,11);(12,18);(1,14);(15,10);(11,10)",20,True,43.30829685844078,43.30829685844078,00:4;01:5;02:5;03:6,"(0,0);(0,6);(0,12);(0,18)","(16,5);(11,7);(15,10);(17,15)",237,0,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(10,3);(7,11);(0,1);(9,4);(0,3);(3,5);(1,17);(3,17);(12,8);(15,13);(5,5);(18,7);(2,12);(1,3);(8,10);(4,1);(4,10);(16,15);(2,7);(10,2)",20,True,50.04316572562953,50.04316572562953,00:7;01:3;02:5;03:5,"(0,0);(0,6);(0,12);(0,18)","(10,3);(9,4);(18,7);(16,15)",291,0,completed
2,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(8,17);(9,7);(13,2);(17,3);(16,16);(10,9);(9,6);(17,15);(6,12);(17,0);(1,17);(7,10);(13,18);(11,15);(0,1);(3,17);(3,0);(13,13);(15,18);(0,2)",20,True,61.946114330887404,61.946114330887404,00:3;01:3;02:7;03:7,"(0,0);(0,6);(0,12);(0,18)","(17,0);(17,3);(16,16);(15,18)",365,0,completed
3,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(12,12);(17,11);(2,6);(9,13);(2,17);(6,11);(17,3);(5,8);(14,10);(16,4);(8,15);(18,8);(9,8);(6,10);(10,16);(10,8);(12,0);(6,6);(1,18);(3,12)",20,True,57.32643756146395,57.32643756146395,00:3;01:6;02:5;03:6,"(0,0);(0,6);(0,12);(0,18)","(16,4);(14,10);(12,12);(18,8)",345,0,completed
4,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(10,14);(3,1);(12,5);(12,17);(17,8);(8,7);(17,13);(4,6);(5,18);(10,10);(2,2);(8,1);(2,13);(7,8);(4,17);(2,12);(5,4);(11,12);(11,2);(13,9)",20,True,60.06509198663627,60.06509198663627,00:5;01:4;02:8;03:3,"(0,0);(0,6);(0,12);(0,18)","(12,5);(9,8);(17,13);(16,17)",363,0,completed
5,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(11,10);(3,13);(17,2);(10,12);(7,0);(1,9);(9,9);(5,1);(12,13);(16,10);(17,5);(18,6);(11,11);(8,9);(12,2);(8,3);(13,16);(1,12);(8,12);(4,5)",20,True,49.13257086797329,49.13257086797329,00:7;01:4;02:7;03:2,"(0,0);(0,6);(0,12);(0,18)","(18,6);(11,9);(16,10);(13,10)",277,0,completed
6,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(2,9);(9,11);(17,12);(16,3);(18,4);(12,18);(11,8);(14,6);(13,10);(4,8);(10,16);(10,18);(12,3);(6,11);(5,0);(2,6);(15,1);(13,3);(13,7);(11,6)",20,True,48.43619430959692,48.43619430959692,00:6;01:5;02:5;03:4,"(0,0);(0,6);(0,12);(0,18)","(15,1);(12,8);(14,6);(17,12)",268,0,completed
7,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(4,7);(11,12);(14,18);(4,5);(9,6);(16,18);(4,17);(5,1);(17,17);(17,3);(11,9);(6,2);(3,12);(13,18);(9,16);(14,3);(0,15);(8,14);(18,5);(13,11)",20,True,45.232621280770076,45.232621280770076,00:5;01:5;02:6;03:4,"(0,0);(0,6);(0,12);(0,18)","(18,7);(13,11);(17,16);(11,12)",240,0,completed
8,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(16,2);(8,3);(18,12);(6,1);(17,14);(4,18);(10,17);(4,6);(7,18);(15,9);(4,1);(5,18);(12,13);(0,9);(2,7);(0,4);(4,5);(15,3);(6,6);(9,5)",20,True,43.55939374293573,43.55939374293573,00:5;01:4;02:4;03:7,"(0,0);(0,6);(0,12);(0,18)","(17,2);(9,5);(15,9);(18,12)",243,0,completed
9,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(0,3);(12,1);(6,13);(4,16);(5,4);(10,1);(2,0);(14,17);(12,14);(17,2);(9,15);(8,10);(2,16);(12,12);(7,10);(16,12);(14,2);(4,9);(9,12);(14,7)",20,True,51.70873124876835,51.70873124876835,00:5;01:3;02:5;03:7,"(0,0);(0,6);(0,12);(0,18)","(17,2);(14,7);(14,17);(9,15)",303,0,completed
