trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,stage,environment,algorithm_key,commitment_horizon,dga_iterations,comm_label,out_dir,run_id,failure_type,failure_message,debug_max_events
10,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
11,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
12,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
13,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
14,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
15,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
16,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
17,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
18,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
19,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
20,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
21,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
22,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
23,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
24,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
25,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
26,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
27,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
28,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
29,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
30,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
31,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
32,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
33,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
34,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
35,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
36,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
37,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
38,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
39,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
40,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
41,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
42,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
43,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,196,196,0,196,1,0,0,0,783,0,0,196,587,392,391,0,0,0.0,3.9948979591836733,0.0,1.9948979591836735,0.0,1.9948979591836735,cbaa_entry:391;collision_intent:196;state:196,196,783,0.0,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,,
