algorithm,communication_condition,source_out_dir,system_rows,trial_rows,robot_rows,target_rows,complete
PI,gilbert_elliot_pGG_0_6_pBB_0_4,runs/known_visit_core_500/raw/pi/gilbert_elliot_pGG_0_6_pBB_0_4,500,500,2000,5000,no
PI,gilbert_elliot_pGG_0_7_pBB_0_3,runs/known_visit_core_500/raw/pi/gilbert_elliot_pGG_0_7_pBB_0_3,500,500,2000,5000,no
PI,gilbert_elliot_pGG_0_8_pBB_0_2,runs/known_visit_core_500/raw/pi/gilbert_elliot_pGG_0_8_pBB_0_2,500,500,2000,5000,no
PI,gilbert_elliot_pGG_0_95_pBB_0_05,runs/known_visit_core_500/raw/pi/gilbert_elliot_pGG_0_95_pBB_0_05,500,500,2000,5000,no
PI,gilbert_elliot_pGG_0_9_pBB_0_1,runs/known_visit_core_500/raw/pi/gilbert_elliot_pGG_0_9_pBB_0_1,500,500,2000,5000,no
PI,ideal_1_0,runs/known_visit_core_500/raw/pi/ideal_1_0,500,500,2000,5000,no
PI,rayleigh_style_sens_neg32_58,runs/known_visit_core_500/raw/pi/rayleigh_style_sens_neg32_58,500,500,2000,5000,no
PI,rayleigh_style_sens_neg37_79,runs/known_visit_core_500/raw/pi/rayleigh_style_sens_neg37_79,500,500,2000,5000,no
PI,rayleigh_style_sens_neg42_16,runs/known_visit_core_500/raw/pi/rayleigh_style_sens_neg42_16,500,500,2000,5000,no
PI,rayleigh_style_sens_neg46_04,runs/known_visit_core_500/raw/pi/rayleigh_style_sens_neg46_04,500,500,2000,5000,no
PI,rayleigh_style_sens_neg49_17,runs/known_visit_core_500/raw/pi/rayleigh_style_sens_neg49_17,500,500,2000,5000,no
PI,rayleigh_style_sens_neg52_15,runs/known_visit_core_500/raw/pi/rayleigh_style_sens_neg52_15,500,500,2000,5000,no
PI,rayleigh_style_sens_neg56_04,runs/known_visit_core_500/raw/pi/rayleigh_style_sens_neg56_04,500,500,2000,5000,no
PI,rayleigh_style_sens_neg59_4,runs/known_visit_core_500/raw/pi/rayleigh_style_sens_neg59_4,500,500,2000,5000,no
