stage,environment,algorithm_key,algorithm,commitment_horizon,comm_label,comm_model,comm_level,out_dir,run_id,expected_trials,command
coverage_core,coverage,cbaa,CBAA,,ideal_1_0,ideal,,runs/coverage_core_100/raw/cbaa/ideal_1_0,cbaa_ideal_1_0,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.CBAA:CBAAAllocator"", ""--algorithm-name"", ""CBAA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""cbaa_ideal_1_0"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/cbaa/ideal_1_0"", ""--no-parquet"", ""--num-trials"", ""100"", ""--comm-model"", ""ideal""]"
coverage_core,coverage,cbaa,CBAA,,bernoulli_drop_0_05,bernoulli,0.05,runs/coverage_core_100/raw/cbaa/bernoulli_drop_0_05,cbaa_bernoulli_drop_0_05,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.CBAA:CBAAAllocator"", ""--algorithm-name"", ""CBAA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""cbaa_bernoulli_drop_0_05"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/cbaa/bernoulli_drop_0_05"", ""--no-parquet"", ""--num-trials"", ""100"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.05""]"
coverage_core,coverage,cbaa,CBAA,,bernoulli_drop_0_1,bernoulli,0.1,runs/coverage_core_100/raw/cbaa/bernoulli_drop_0_1,cbaa_bernoulli_drop_0_1,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.CBAA:CBAAAllocator"", ""--algorithm-name"", ""CBAA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""cbaa_bernoulli_drop_0_1"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/cbaa/bernoulli_drop_0_1"", ""--no-parquet"", ""--num-trials"", ""100"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.1""]"
coverage_core,coverage,cbaa,CBAA,,bernoulli_drop_0_2,bernoulli,0.2,runs/coverage_core_100/raw/cbaa/bernoulli_drop_0_2,cbaa_bernoulli_drop_0_2,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.CBAA:CBAAAllocator"", ""--algorithm-name"", ""CBAA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""cbaa_bernoulli_drop_0_2"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/cbaa/bernoulli_drop_0_2"", ""--no-parquet"", ""--num-trials"", ""100"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.2""]"
coverage_core,coverage,cbaa,CBAA,,bernoulli_drop_0_3,bernoulli,0.3,runs/coverage_core_100/raw/cbaa/bernoulli_drop_0_3,cbaa_bernoulli_drop_0_3,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.CBAA:CBAAAllocator"", ""--algorithm-name"", ""CBAA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""cbaa_bernoulli_drop_0_3"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/cbaa/bernoulli_drop_0_3"", ""--no-parquet"", ""--num-trials"", ""100"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.3""]"
coverage_core,coverage,cbaa,CBAA,,bernoulli_drop_0_4,bernoulli,0.4,runs/coverage_core_100/raw/cbaa/bernoulli_drop_0_4,cbaa_bernoulli_drop_0_4,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.CBAA:CBAAAllocator"", ""--algorithm-name"", ""CBAA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""cbaa_bernoulli_drop_0_4"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/cbaa/bernoulli_drop_0_4"", ""--no-parquet"", ""--num-trials"", ""100"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.4""]"
coverage_core,coverage,cbaa,CBAA,,bernoulli_drop_0_5,bernoulli,0.5,runs/coverage_core_100/raw/cbaa/bernoulli_drop_0_5,cbaa_bernoulli_drop_0_5,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.CBAA:CBAAAllocator"", ""--algorithm-name"", ""CBAA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""cbaa_bernoulli_drop_0_5"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/cbaa/bernoulli_drop_0_5"", ""--no-parquet"", ""--num-trials"", ""100"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.5""]"
coverage_core,coverage,cbaa,CBAA,,bernoulli_drop_0_6,bernoulli,0.6,runs/coverage_core_100/raw/cbaa/bernoulli_drop_0_6,cbaa_bernoulli_drop_0_6,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.CBAA:CBAAAllocator"", ""--algorithm-name"", ""CBAA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""cbaa_bernoulli_drop_0_6"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/cbaa/bernoulli_drop_0_6"", ""--no-parquet"", ""--num-trials"", ""100"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.6""]"
coverage_core,coverage,cbaa,CBAA,,bernoulli_drop_0_7,bernoulli,0.7,runs/coverage_core_100/raw/cbaa/bernoulli_drop_0_7,cbaa_bernoulli_drop_0_7,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.CBAA:CBAAAllocator"", ""--algorithm-name"", ""CBAA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""cbaa_bernoulli_drop_0_7"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/cbaa/bernoulli_drop_0_7"", ""--no-parquet"", ""--num-trials"", ""100"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.7""]"
coverage_core,coverage,cbaa,CBAA,,gilbert_elliot_pGG_0_3_pBB_0_7,gilbert_elliot,0.3,runs/coverage_core_100/raw/cbaa/gilbert_elliot_pGG_0_3_pBB_0_7,cbaa_gilbert_elliot_pGG_0_3_pBB_0_7,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.CBAA:CBAAAllocator"", ""--algorithm-name"", ""CBAA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""cbaa_gilbert_elliot_pGG_0_3_pBB_0_7"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/cbaa/gilbert_elliot_pGG_0_3_pBB_0_7"", ""--no-parquet"", ""--num-trials"", ""100"", ""--comm-model"", ""gilbert_elliot"", ""--comm-level"", ""0.3""]"
