mission,scenario,comm_model,comm_label,degradation_pct,metric,algorithm,attempted_trial_n,six_way_paired_n,eligible_n,mean,median,sd,ci95_low,ci95_high,source_column,scope,ci_method,panel_model
Clue-Informed Probabilistic Search (CLIPS),CLIPS,ideal,ideal_1_0,0,post_clue_steps_to_find,CBAA,500,385,385,133.251948051948,108,107.91627929112,122.438214427665,144.065681676231,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,ideal,ideal_1_0,0,post_clue_steps_to_find,ACBBA,500,385,385,135.007792207792,106,109.209123939456,124.064509290886,145.951075124698,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,ideal,ideal_1_0,0,post_clue_steps_to_find,PI,500,385,385,136.753246753247,113,107.104694186459,126.020837885459,147.485655621034,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,ideal,ideal_1_0,0,post_clue_steps_to_find,HIPC,500,385,385,128.974025974026,109,102.885653309518,118.664385427134,139.283666520918,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,ideal,ideal_1_0,0,post_clue_steps_to_find,DMCHBA,500,385,385,131.836363636364,116,98.1988932349839,121.996359138266,141.676368134461,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,ideal,ideal_1_0,0,post_clue_steps_to_find,DGA,500,385,385,153.924675324675,120,125.428004909527,141.35618201647,166.493168632881,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_05,5,post_clue_steps_to_find,CBAA,500,385,385,151.01038961039,128,121.761741802484,138.809273614453,163.211505606326,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_05,5,post_clue_steps_to_find,ACBBA,500,385,385,140.620779220779,114,114.418509868084,129.155490614386,152.086067827173,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_05,5,post_clue_steps_to_find,PI,500,385,385,141.576623376623,111,117.514227746872,129.801128851929,153.352117901318,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_05,5,post_clue_steps_to_find,HIPC,500,385,385,151.132467532468,119,123.2050315632,138.78672691532,163.478208149615,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_05,5,post_clue_steps_to_find,DMCHBA,500,385,385,137.046753246753,115,106.728397970932,126.352051081469,147.741455412037,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_05,5,post_clue_steps_to_find,DGA,500,385,385,158.020779220779,121,133.610946347095,144.632315565651,171.409242875908,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_1,10,post_clue_steps_to_find,CBAA,500,385,385,157.012987012987,120,132.708335966754,143.714969287644,170.31100473833,post_clue_steps_to_find,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
