scenario,metric,metric_family,result_type,comm_model,comm_level_raw,comm_level_pct,algorithm,total_trial_count,eligible_paired_trials,excluded_trials,mean_value,median_value,standard_deviation,ci95_low,ci95_high,field_mean,absolute_advantage_vs_field,percent_advantage_vs_field,units,lower_is_better,source_column,inclusion_rule,notes
Bayesian clue-informed search,max_agent_steps,mission_timeliness,condition_metric,bernoulli,0.05,5,CBAA,500,385,115,54.574025974026,50,31.629946099539,51.4388961038961,57.7715584415584,53.2792207792208,-1.29480519480519,-2.430225472273,steps,1,max_steps_any_robot,"All six algorithms present and eligible for the exact trial and communication condition; completed and first_clue_robot nonempty.",Condition metric summary from paired eligible trials. Positive field advantage means the algorithm is lower/better than the six-algorithm trial mean.
Bayesian clue-informed search,max_agent_steps,mission_timeliness,condition_metric,bernoulli,0.05,5,ACBBA,500,385,115,51.7636363636364,47,29.6864469510206,48.8544805194805,54.7585064935065,53.2792207792208,1.51558441558442,2.84460694698354,steps,1,max_steps_any_robot,"All six algorithms present and eligible for the exact trial and communication condition; completed and first_clue_robot nonempty.",Condition metric summary from paired eligible trials. Positive field advantage means the algorithm is lower/better than the six-algorithm trial mean.
Bayesian clue-informed search,max_agent_steps,mission_timeliness,condition_metric,bernoulli,0.05,5,PI,500,385,115,51.974025974026,48,30.5751184014018,48.9324675324675,55.0079220779221,53.2792207792208,1.30519480519481,2.44972577696526,steps,1,max_steps_any_robot,"All six algorithms present and eligible for the exact trial and communication condition; completed and first_clue_robot nonempty.",Condition metric summary from paired eligible trials. Positive field advantage means the algorithm is lower/better than the six-algorithm trial mean.
Bayesian clue-informed search,max_agent_steps,mission_timeliness,condition_metric,bernoulli,0.05,5,HIPC,500,385,115,54.3948051948052,51,31.7528701790939,51.2337012987013,57.5246753246753,53.2792207792208,-1.11558441558442,-2.0938452163315,steps,1,max_steps_any_robot,"All six algorithms present and eligible for the exact trial and communication condition; completed and first_clue_robot nonempty.",Condition metric summary from paired eligible trials. Positive field advantage means the algorithm is lower/better than the six-algorithm trial mean.
Bayesian clue-informed search,max_agent_steps,mission_timeliness,condition_metric,bernoulli,0.05,5,DMCHBA,500,385,115,50.8,47,27.71598891735,48.0129220779221,53.612987012987,53.2792207792208,2.47922077922078,4.65326020719074,steps,1,max_steps_any_robot,"All six algorithms present and eligible for the exact trial and communication condition; completed and first_clue_robot nonempty.",Condition metric summary from paired eligible trials. Positive field advantage means the algorithm is lower/better than the six-algorithm trial mean.
Bayesian clue-informed search,max_agent_steps,mission_timeliness,condition_metric,bernoulli,0.05,5,DGA,500,385,115,56.1688311688312,49,34.4064260127963,52.8258441558442,59.5974675324675,53.2792207792208,-2.88961038961039,-5.42352224253504,steps,1,max_steps_any_robot,"All six algorithms present and eligible for the exact trial and communication condition; completed and first_clue_robot nonempty.",Condition metric summary from paired eligible trials. Positive field advantage means the algorithm is lower/better than the six-algorithm trial mean.
Bayesian clue-informed search,max_agent_steps,mission_timeliness,condition_metric,bernoulli,0.1,10,CBAA,500,385,115,56.1064935064935,49,33.9770385765579,52.6961038961039,59.5301948051948,55.9012987012987,-0.205194805194805,-0.367066257782712,steps,1,max_steps_any_robot,"All six algorithms present and eligible for the exact trial and communication condition; completed and first_clue_robot nonempty.",Condition metric summary from paired eligible trials. Positive field advantage means the algorithm is lower/better than the six-algorithm trial mean.
Bayesian clue-informed search,max_agent_steps,mission_timeliness,condition_metric,bernoulli,0.1,10,ACBBA,500,385,115,54.438961038961,50,31.9597246377022,51.3322727272727,57.6519480519481,55.9012987012987,1.46233766233766,2.6159278877428,steps,1,max_steps_any_robot,"All six algorithms present and eligible for the exact trial and communication condition; completed and first_clue_robot nonempty.",Condition metric summary from paired eligible trials. Positive field advantage means the algorithm is lower/better than the six-algorithm trial mean.
Bayesian clue-informed search,max_agent_steps,mission_timeliness,condition_metric,bernoulli,0.1,10,PI,500,385,115,55.1896103896104,50,34.4839620950797,51.7894805194805,58.7248051948052,55.9012987012987,0.711688311688311,1.27311588142369,steps,1,max_steps_any_robot,"All six algorithms present and eligible for the exact trial and communication condition; completed and first_clue_robot nonempty.",Condition metric summary from paired eligible trials. Positive field advantage means the algorithm is lower/better than the six-algorithm trial mean.
Bayesian clue-informed search,max_agent_steps,mission_timeliness,condition_metric,bernoulli,0.1,10,HIPC,500,385,115,55.851948051948,50,33.3376258058713,52.4882467532468,59.1403246753247,55.9012987012987,0.049350649350649,0.0882817582009375,steps,1,max_steps_any_robot,"All six algorithms present and eligible for the exact trial and communication condition; completed and first_clue_robot nonempty.",Condition metric summary from paired eligible trials. Positive field advantage means the algorithm is lower/better than the six-algorithm trial mean.
Bayesian clue-informed search,max_agent_steps,mission_timeliness,condition_metric,bernoulli,0.1,10,DMCHBA,500,385,115,53.2337662337662,50,29.7540683947416,50.3453896103896,56.246948051948,55.9012987012987,2.66753246753247,4.77186135117557,steps,1,max_steps_any_robot,"All six algorithms present and eligible for the exact trial and communication condition; completed and first_clue_robot nonempty.",Condition metric summary from paired eligible trials. Positive field advantage means the algorithm is lower/better than the six-algorithm trial mean.
Bayesian clue-informed search,max_agent_steps,mission_timeliness,condition_metric,bernoulli,0.1,10,DGA,500,385,115,60.587012987013,53,38.8832164101463,56.7454545454545,64.4157142857143,55.9012987012987,-4.68571428571429,-8.38212062076013,steps,1,max_steps_any_robot,"All six algorithms present and eligible for the exact trial and communication condition; completed and first_clue_robot nonempty.",Condition metric summary from paired eligible trials. Positive field advantage means the algorithm is lower/better than the six-algorithm trial mean.
Bayesian clue-informed search,max_agent_steps,mission_timeliness,condition_metric,bernoulli,0.2,20,CBAA,500,385,115,64.3662337662338,55,40.3436204503136,60.3272077922078,68.4753246753247,61.030303030303,-3.33593073593074,-5.46602354943964,steps,1,max_steps_any_robot,"All six algorithms present and eligible for the exact trial and communication condition; completed and first_clue_robot nonempty.",Condition metric summary from paired eligible trials. Positive field advantage means the algorithm is lower/better than the six-algorithm trial mean.
Bayesian clue-informed search,max_agent_steps,mission_timeliness,condition_metric,bernoulli,0.2,20,ACBBA,500,385,115,60.0935064935065,55,37.0400484894333,56.3946103896104,63.7896103896104,61.030303030303,0.936796536796536,1.53496949921973,steps,1,max_steps_any_robot,"All six algorithms present and eligible for the exact trial and communication condition; completed and first_clue_robot nonempty.",Condition metric summary from paired eligible trials. Positive field advantage means the algorithm is lower/better than the six-algorithm trial mean.
