trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
0,known_visit,ACBBA,bernoulli,0.25,19,361,4,10,acbba_h12_bernoulli_025,known_visit_10target_300.csv,"(9,10);(8,11);(2,1);(1,7);(17,13);(4,13);(0,11);(5,8);(0,13);(14,9)",10,True,49.25637824225802,49.25637824225802,00:1;01:2;02:5;03:2,"(0,0);(0,6);(0,12);(0,18)","(3,11);(0,10);(17,13);(14,9)",262,0,known_visit_horizon,commitment_horizon,12,h12,10,4
1,known_visit,ACBBA,bernoulli,0.25,19,361,4,10,acbba_h12_bernoulli_025,known_visit_10target_300.csv,"(16,15);(17,5);(14,13);(15,3);(13,7);(11,2);(15,16);(16,6);(9,14);(7,16)",10,True,40.668973932250815,40.668973932250815,00:4;01:1;02:2;03:3,"(0,0);(0,6);(0,12);(0,18)","(17,5);(15,4);(17,13);(14,12)",215,0,known_visit_horizon,commitment_horizon,12,h12,10,4
2,known_visit,ACBBA,bernoulli,0.25,19,361,4,10,acbba_h12_bernoulli_025,known_visit_10target_300.csv,"(0,4);(8,8);(13,2);(0,2);(12,18);(0,9);(16,12);(4,15);(14,2);(12,9)",10,True,59.93869263563436,59.93869263563436,00:3;01:4;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(12,9);(14,2);(14,3);(13,16)",342,0,known_visit_horizon,commitment_horizon,12,h12,10,4
3,known_visit,ACBBA,bernoulli,0.25,19,361,4,10,acbba_h12_bernoulli_025,known_visit_10target_300.csv,"(15,11);(11,8);(11,16);(7,17);(10,5);(0,15);(0,13);(1,12);(3,14);(2,7)",10,True,59.647827653970396,59.647827653970396,00:3;01:2;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(15,11);(11,16);(10,17);(8,7)",352,0,known_visit_horizon,commitment_horizon,12,h12,10,4
4,known_visit,ACBBA,bernoulli,0.25,19,361,4,10,acbba_h12_bernoulli_025,known_visit_10target_300.csv,"(13,1);(17,14);(8,0);(10,2);(16,10);(4,18);(0,17);(1,0);(12,16);(8,13)",10,True,50.30347021645374,50.30347021645374,00:3;01:3;02:0;03:4,"(0,0);(0,6);(0,12);(0,18)","(8,13);(16,10);(10,3);(17,14)",272,0,known_visit_horizon,commitment_horizon,12,h12,10,4
5,known_visit,ACBBA,bernoulli,0.25,19,361,4,10,acbba_h12_bernoulli_025,known_visit_10target_300.csv,"(1,9);(12,6);(16,8);(14,1);(3,5);(8,15);(1,6);(10,6);(16,3);(15,14)",10,True,64.54556815484068,64.54556815484068,00:2;01:2;02:4;03:2,"(0,0);(0,6);(0,12);(0,18)","(16,6);(14,15);(16,3);(15,6)",349,0,known_visit_horizon,commitment_horizon,12,h12,10,4
6,known_visit,ACBBA,bernoulli,0.25,19,361,4,10,acbba_h12_bernoulli_025,known_visit_10target_300.csv,"(4,12);(9,2);(4,2);(13,8);(16,13);(6,13);(18,2);(4,8);(0,15);(18,7)",10,True,62.005934467865224,62.005934467865224,00:5;01:1;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(16,13);(0,15);(18,7);(16,1)",339,0,known_visit_horizon,commitment_horizon,12,h12,10,4
7,known_visit,ACBBA,bernoulli,0.25,19,361,4,10,acbba_h12_bernoulli_025,known_visit_10target_300.csv,"(7,3);(17,14);(1,9);(13,14);(10,5);(7,16);(18,15);(16,7);(2,12);(9,2)",10,True,67.21434231315348,67.21434231315348,00:6;01:2;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(13,14);(10,3);(4,7);(9,11)",417,0,known_visit_horizon,commitment_horizon,12,h12,10,4
8,known_visit,ACBBA,bernoulli,0.25,19,361,4,10,acbba_h12_bernoulli_025,known_visit_10target_300.csv,"(4,16);(9,10);(12,8);(12,15);(11,6);(17,7);(0,5);(2,5);(1,5);(17,0)",10,True,64.51481506491349,64.51481506491349,00:4;01:2;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(9,16);(9,10);(17,0);(13,9)",375,0,known_visit_horizon,commitment_horizon,12,h12,10,4
9,known_visit,ACBBA,bernoulli,0.25,19,361,4,10,acbba_h12_bernoulli_025,known_visit_10target_300.csv,"(12,16);(16,17);(2,7);(18,12);(17,1);(8,2);(9,18);(10,3);(1,4);(1,1)",10,True,89.7486660897057,89.7486660897057,00:3;01:6;02:0;03:1,"(0,0);(0,6);(0,12);(0,18)","(16,17);(18,12);(9,18);(10,1)",488,0,known_visit_horizon,commitment_horizon,12,h12,10,4
