trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h12_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,70.36398742025273,70.36398742025273,1,1,1,48,41,50,2,0,0,0,0,0.0,0,502,0,122,303,60,50,72,102,20,0.28169014084507044,24.4,4.0,collision_intent:50;hipc_clear_bundle:2;hipc_entry:18;state:52,0.75,0.6299999999999999,406,152.0371,0.7744,83.0485,0.5427,406,68.9886,0.2989,completed
1,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h12_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,26.47374519746214,26.47374519746214,0,0,0,33,16,37,0,0,0,0,0,0.0,0,173,0,91,225,45,34,57,71,20,0.26785714285714285,18.2,4.0,collision_intent:34;hipc_clear_bundle:1;hipc_entry:19;state:37,0.44999999999999996,0.41216216216216206,109,33.3734,0.6536,16.1994,0.4178,109,17.174,0.2358,completed
2,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h12_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,26.807414212737392,26.807414212737392,0,0,0,26,16,30,0,0,0,0,0,0.0,0,182,0,76,195,31,28,48,58,18,0.21830985915492956,15.2,3.6,collision_intent:28;hipc_clear_bundle:2;hipc_entry:16;state:30,0.55,0.46666666666666656,133,46.2085,3.1161,24.6098,2.9032,133,21.5987,0.2289,completed
3,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h12_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,36.403646454001446,36.403646454001446,0,0,0,30,22,34,0,0,0,0,0,0.0,0,255,0,92,225,49,33,59,67,25,0.28,18.4,5.0,collision_intent:33;hipc_clear_bundle:3;hipc_entry:22;state:34,0.55,0.5,202,80.8694,0.6575,42.4242,0.4375,202,38.4452,0.2509,completed
4,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h12_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,48.062118559942554,48.062118559942554,1,1,1,50,28,52,2,2,1,1,0,0.0,0,322,0,138,350,62,53,85,107,31,0.2450592885375494,27.6,6.2,collision_intent:53;hipc_clear_bundle:3;hipc_entry:28;state:54,0.75,0.4903846153846154,219,88.493,0.656,46.5925,0.4256,219,41.9005,0.352,completed
5,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h12_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,37.300327417484695,37.300327417484695,0,0,0,33,22,37,0,0,0,0,0,0.0,0,261,0,93,224,53,35,58,72,21,0.3081395348837209,18.6,4.2,collision_intent:35;hipc_clear_bundle:2;hipc_entry:19;state:37,0.44999999999999996,0.45270270270270263,194,80.8827,0.7365,42.0355,0.4781,194,38.8472,0.2584,completed
6,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h12_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,48.382890812139046,48.382890812139046,1,1,1,40,28,42,2,2,3,1,1,5.0,1,339,0,118,285,67,43,75,87,31,0.3004484304932735,23.6,6.2,collision_intent:43;hipc_clear_bundle:3;hipc_entry:28;state:44,0.6499999999999999,0.5595238095238095,257,90.4279,0.8583,43.3197,0.6475,257,47.1082,0.3181,completed
7,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h12_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,48.999820743298244,48.999820743298244,0,0,0,29,29,33,0,0,0,0,0,0.0,0,355,0,77,206,24,29,48,62,15,0.16783216783216784,15.4,3.0,collision_intent:29;hipc_entry:15;state:33,0.75,0.6590909090909092,299,109.7214,0.6935,61.1321,0.4748,299,48.5893,0.2713,completed
8,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h12_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,46.84743279504243,46.84743279504243,0,0,0,33,28,37,0,0,0,0,0,0.0,0,335,0,93,235,42,35,58,72,21,0.2441860465116279,18.6,4.2,collision_intent:35;hipc_clear_bundle:2;hipc_entry:19;state:37,0.6499999999999999,0.5878378378378379,272,108.2328,0.7525,56.2314,0.5362,272,52.0014,0.2512,completed
9,known_visit,HIPC,bernoulli,drop_0.25,19,361,4,5,targets_5_hipc_h12_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,56.15210563231746,56.15210563231746,0,0,0,43,33,47,0,0,0,0,0,0.0,0,396,0,121,296,65,46,75,93,28,0.2914798206278027,24.2,5.6,collision_intent:46;hipc_clear_bundle:2;hipc_entry:26;state:47,0.6499999999999999,0.5585106382978724,312,105.454,0.6837,50.2057,0.4639,312,55.2483,0.2997,completed
