trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
0,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,5,140.0,125.0,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,14,0,"(9,0);(6,18);(19,8);(12,1)",00,9,0,"00:(0,0);01:(0,6);02:(0,12);03:(0,18);04:(0,24)","00:(13,4);01:(10,3);02:(14,0);03:(10,5);04:(7,9)",00:2;01:1;02:0;03:0;04:0,02,completed
1,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,5,140.0,125.0,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,12,13,"(12,14);(16,14);(9,1);(18,8)",01,18,8,"00:(0,0);01:(0,6);02:(0,12);03:(0,18);04:(0,24)","00:(17,5);01:(17,8);02:(12,13);03:(18,15);04:(16,20)",00:0;01:1;02:0;03:0;04:0,02,completed
2,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,5,140.0,125.0,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,16,1,"(9,12);(17,8);(15,4);(7,14)",02,9,12,"00:(0,0);01:(0,6);02:(0,12);03:(0,18);04:(0,24)","00:(13,3);01:(18,4);02:(14,4);03:(12,6);04:(16,1)",00:1;01:1;02:1;03:2;04:1,04,completed
3,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,5,140.0,125.0,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,2,18,"(4,16);(13,22);(5,17);(3,18)",03,4,16,"00:(0,0);01:(0,6);02:(0,12);03:(0,18);04:(0,24)","00:(2,6);01:(4,16);02:(5,17);03:(2,18);04:(6,18)",00:0;01:1;02:1;03:3;04:0,03,completed
4,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,5,140.0,125.0,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,8,18,"(7,23);(17,17);(19,8);(12,6)",01,19,8,"00:(0,0);01:(0,6);02:(0,12);03:(0,18);04:(0,24)","00:(24,21);01:(8,18);02:(5,20);03:(4,15);04:(8,14)",00:2;01:2;02:0;03:1;04:0,01,completed
5,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,5,140.0,125.0,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,15,13,"(19,6);(19,17);(17,5);(11,10)",,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18);04:(0,24)","00:(15,1);01:(17,8);02:(15,13);03:(20,15);04:(18,20)",00:0;01:0;02:0;03:0;04:0,02,completed
6,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,5,140.0,125.0,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,10,15,"(1,5);(8,15);(13,17);(14,10)",,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18);04:(0,24)","00:(6,1);01:(8,8);02:(6,13);03:(10,15);04:(9,20)",00:0;01:0;02:0;03:0;04:0,03,completed
7,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,5,140.0,125.0,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,4,19,"(5,18);(4,18);(11,9);(17,11)",,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18);04:(0,24)","00:(5,0);01:(3,7);02:(5,12);03:(4,19);04:(5,24)",00:0;01:0;02:0;03:0;04:0,03,completed
8,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,5,140.0,125.0,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,21,3,"(18,22);(17,17);(17,1);(24,1)",00,24,1,"00:(0,0);01:(0,6);02:(0,12);03:(0,18);04:(0,24)","00:(21,2);01:(21,3);02:(23,5);03:(23,11);04:(24,16)",00:1;01:0;02:0;03:0;04:0,01,completed
9,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,5,140.0,125.0,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,1,0,"(6,17);(10,3);(2,18);(16,8)",,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18);04:(0,24)","00:(1,0);01:(0,6);02:(0,12);03:(0,18);04:(0,24)",00:0;01:0;02:0;03:0;04:0,00,completed
10,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,5,140.0,125.0,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,18,13,"(14,23);(19,13);(22,9);(13,10)",02,19,13,"00:(0,0);01:(0,6);02:(0,12);03:(0,18);04:(0,24)","00:(19,4);01:(20,10);02:(18,13);03:(22,14);04:(20,20)",00:0;01:0;02:1;03:0;04:0,02,completed
11,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,5,140.0,125.0,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,18,10,"(15,19);(15,10);(18,9);(12,7)",01,12,7,"00:(0,0);01:(0,6);02:(0,12);03:(0,18);04:(0,24)","00:(4,5);01:(15,9);02:(17,8);03:(3,4);04:(18,10)",00:0;01:2;02:1;03:1;04:1,04,completed
12,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,5,140.0,125.0,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,14,19,"(15,17);(6,20);(15,5);(7,18)",,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18);04:(0,24)","00:(15,0);01:(13,7);02:(15,12);03:(14,19);04:(15,24)",00:0;01:0;02:0;03:0;04:0,03,completed
13,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,5,140.0,125.0,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,4,15,"(10,6);(3,12);(6,22);(7,17)",02,3,12,"00:(0,0);01:(0,6);02:(0,12);03:(0,18);04:(0,24)","00:(3,11);01:(4,15);02:(4,13);03:(4,10);04:(3,24)",00:1;01:0;02:1;03:0;04:0,01,completed
14,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,5,140.0,125.0,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,1,10,"(4,8);(2,12);(6,8);(20,8)",02,2,12,"00:(0,0);01:(0,6);02:(0,12);03:(0,18);04:(0,24)","00:(2,7);01:(1,10);02:(2,10);03:(1,13);04:(2,17)",00:0;01:0;02:1;03:0;04:0,01,completed
15,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,5,140.0,125.0,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,23,1,"(7,8);(18,17);(10,7);(18,11)",01,10,7,"00:(0,0);01:(0,6);02:(0,12);03:(0,18);04:(0,24)","00:(17,11);01:(14,14);02:(23,1);03:(3,6);04:(8,23)",00:1;01:3;02:2;03:4;04:0,02,completed
16,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,5,140.0,125.0,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,9,3,"(9,2);(4,7);(7,5);(14,3)",01,4,7,"00:(0,0);01:(0,6);02:(0,12);03:(0,18);04:(0,24)","00:(0,7);01:(9,4);02:(6,8);03:(9,3);04:(4,3)",00:0;01:2;02:0;03:0;04:0,03,completed
