stage,environment,algorithm_key,algorithm,commitment_horizon,comm_label,comm_model,comm_level,out_dir,run_id,expected_trials,command,condition_id,target_drop_fraction,comm_level_stationary_delivery,state_correlation,p_gg,p_bb,scenario_file,scenario_sha256,seed,source_command
coverage_core,coverage,acbba,ACBBA,5,bernoulli_drop_0_6,bernoulli,0.6,runs/coverage_core_100/raw/acbba/bernoulli_drop_0_6,acbba_bernoulli_drop_0_6,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.ACBBA:ACBBAAllocator"", ""--algorithm-name"", ""ACBBA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""acbba_bernoulli_drop_0_6"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/acbba/bernoulli_drop_0_6"", ""--no-parquet"", ""--num-trials"", ""100"", ""--commitment-horizon"", ""5"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.6""]",acbba_bernoulli_drop_0_6,,,,,,,,,
coverage_core,coverage,acbba,ACBBA,5,bernoulli_drop_0_7,bernoulli,0.7,runs/coverage_core_100/raw/acbba/bernoulli_drop_0_7,acbba_bernoulli_drop_0_7,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.ACBBA:ACBBAAllocator"", ""--algorithm-name"", ""ACBBA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""acbba_bernoulli_drop_0_7"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/acbba/bernoulli_drop_0_7"", ""--no-parquet"", ""--num-trials"", ""100"", ""--commitment-horizon"", ""5"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.7""]",acbba_bernoulli_drop_0_7,,,,,,,,,
coverage_core,coverage,hipc,HIPC,3,bernoulli_drop_0_05,bernoulli,0.05,runs/coverage_core_100/raw/hipc/bernoulli_drop_0_05,hipc_bernoulli_drop_0_05,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.HIPC:HIPCAllocator"", ""--algorithm-name"", ""HIPC"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""hipc_bernoulli_drop_0_05"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/hipc/bernoulli_drop_0_05"", ""--no-parquet"", ""--num-trials"", ""100"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.05""]",hipc_bernoulli_drop_0_05,,,,,,,,,
coverage_core,coverage,hipc,HIPC,3,bernoulli_drop_0_1,bernoulli,0.1,runs/coverage_core_100/raw/hipc/bernoulli_drop_0_1,hipc_bernoulli_drop_0_1,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.HIPC:HIPCAllocator"", ""--algorithm-name"", ""HIPC"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""hipc_bernoulli_drop_0_1"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/hipc/bernoulli_drop_0_1"", ""--no-parquet"", ""--num-trials"", ""100"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.1""]",hipc_bernoulli_drop_0_1,,,,,,,,,
coverage_core,coverage,hipc,HIPC,3,bernoulli_drop_0_2,bernoulli,0.2,runs/coverage_core_100/raw/hipc/bernoulli_drop_0_2,hipc_bernoulli_drop_0_2,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.HIPC:HIPCAllocator"", ""--algorithm-name"", ""HIPC"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""hipc_bernoulli_drop_0_2"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/hipc/bernoulli_drop_0_2"", ""--no-parquet"", ""--num-trials"", ""100"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.2""]",hipc_bernoulli_drop_0_2,,,,,,,,,
coverage_core,coverage,hipc,HIPC,3,bernoulli_drop_0_3,bernoulli,0.3,runs/coverage_core_100/raw/hipc/bernoulli_drop_0_3,hipc_bernoulli_drop_0_3,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.HIPC:HIPCAllocator"", ""--algorithm-name"", ""HIPC"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""hipc_bernoulli_drop_0_3"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/hipc/bernoulli_drop_0_3"", ""--no-parquet"", ""--num-trials"", ""100"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.3""]",hipc_bernoulli_drop_0_3,,,,,,,,,
coverage_core,coverage,hipc,HIPC,3,bernoulli_drop_0_4,bernoulli,0.4,runs/coverage_core_100/raw/hipc/bernoulli_drop_0_4,hipc_bernoulli_drop_0_4,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.HIPC:HIPCAllocator"", ""--algorithm-name"", ""HIPC"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""hipc_bernoulli_drop_0_4"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/hipc/bernoulli_drop_0_4"", ""--no-parquet"", ""--num-trials"", ""100"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.4""]",hipc_bernoulli_drop_0_4,,,,,,,,,
coverage_core,coverage,hipc,HIPC,3,bernoulli_drop_0_5,bernoulli,0.5,runs/coverage_core_100/raw/hipc/bernoulli_drop_0_5,hipc_bernoulli_drop_0_5,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.HIPC:HIPCAllocator"", ""--algorithm-name"", ""HIPC"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""hipc_bernoulli_drop_0_5"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/hipc/bernoulli_drop_0_5"", ""--no-parquet"", ""--num-trials"", ""100"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.5""]",hipc_bernoulli_drop_0_5,,,,,,,,,
coverage_core,coverage,hipc,HIPC,3,bernoulli_drop_0_6,bernoulli,0.6,runs/coverage_core_100/raw/hipc/bernoulli_drop_0_6,hipc_bernoulli_drop_0_6,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.HIPC:HIPCAllocator"", ""--algorithm-name"", ""HIPC"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""hipc_bernoulli_drop_0_6"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/hipc/bernoulli_drop_0_6"", ""--no-parquet"", ""--num-trials"", ""100"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.6""]",hipc_bernoulli_drop_0_6,,,,,,,,,
coverage_core,coverage,hipc,HIPC,3,bernoulli_drop_0_7,bernoulli,0.7,runs/coverage_core_100/raw/hipc/bernoulli_drop_0_7,hipc_bernoulli_drop_0_7,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.HIPC:HIPCAllocator"", ""--algorithm-name"", ""HIPC"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""hipc_bernoulli_drop_0_7"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/hipc/bernoulli_drop_0_7"", ""--no-parquet"", ""--num-trials"", ""100"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.7""]",hipc_bernoulli_drop_0_7,,,,,,,,,
coverage_core,coverage,pi,PI,1,bernoulli_drop_0_05,bernoulli,0.05,runs/coverage_core_100/raw/pi/bernoulli_drop_0_05,pi_bernoulli_drop_0_05,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.PI:PIAllocator"", ""--algorithm-name"", ""PI"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""pi_bernoulli_drop_0_05"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/pi/bernoulli_drop_0_05"", ""--no-parquet"", ""--num-trials"", ""100"", ""--commitment-horizon"", ""1"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.05""]",pi_bernoulli_drop_0_05,,,,,,,,,
coverage_core,coverage,pi,PI,1,bernoulli_drop_0_1,bernoulli,0.1,runs/coverage_core_100/raw/pi/bernoulli_drop_0_1,pi_bernoulli_drop_0_1,100,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""coverage"", ""--algorithm"", ""benchmark_sim.algorithms.PI:PIAllocator"", ""--algorithm-name"", ""PI"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""pi_bernoulli_drop_0_1"", ""--seed"", ""0"", ""--out-dir"", ""runs/coverage_core_100/raw/pi/bernoulli_drop_0_1"", ""--no-parquet"", ""--num-trials"", ""100"", ""--commitment-horizon"", ""1"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.1""]",pi_bernoulli_drop_0_1,,,,,,,,,
