trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
0,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,00,21,1,0,22,0,0,0,0,0,0.0,0,0,61,43,18,141,34,5,1.3195999999999999,0.26392,0.2542,0.3426,0.3426,0.49720000000000003,0.09944,0.0926,0.1524,0.1524,5,0.8224,0.16448000000000002,0.1784,0.1902,0.1902,completed
0,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,01,15,0,1,14,2,4,0,0,0,0.0,0,0,53,32,21,153,29,26,7.244400000000001,0.27863076923076924,0.2741,0.3556,0.3626,2.5989,0.0999576923076923,0.0927,0.1644,0.174,26,4.6455,0.17867307692307693,0.18205,0.2141,0.22,completed
0,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,02,20,2,0,21,0,1,0,0,0,0.0,0,0,62,41,21,140,33,5,1.5937000000000001,0.31874,0.3509,0.3598,0.3598,0.6908,0.13816,0.136,0.167,0.167,5,0.9029,0.18058000000000002,0.1846,0.2149,0.2149,completed
0,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,03,20,2,0,21,0,1,0,0,0,0.0,0,0,60,41,19,146,29,8,1.9896,0.2487,0.23695,0.3686,0.3686,0.8160999999999999,0.10201249999999999,0.09725,0.1639,0.1639,8,1.1735,0.1466875,0.1367,0.2047,0.2047,completed
1,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,00,11,1,0,12,0,1,0,0,0,0.0,0,0,37,23,14,90,17,6,1.5001,0.25001666666666666,0.2232,0.4303,0.4303,0.53,0.08833333333333333,0.0689,0.1873,0.1873,6,0.9701,0.16168333333333332,0.14629999999999999,0.243,0.243,completed
1,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,01,11,2,0,12,0,0,0,0,0,0.0,0,0,38,23,15,85,21,4,1.2730000000000001,0.31825000000000003,0.30355,0.3936,0.3936,0.5052,0.1263,0.11945,0.1538,0.1538,4,0.7678,0.19195,0.18435,0.2398,0.2398,completed
1,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,02,8,0,0,9,0,2,0,0,0,0.0,0,0,33,18,15,89,21,12,2.85,0.23750000000000002,0.23105,0.3479,0.3479,1.0248,0.08539999999999999,0.0841,0.1551,0.1551,12,1.8252,0.15209999999999999,0.14325,0.2035,0.2035,completed
1,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,03,9,2,0,10,0,0,0,0,0,0.0,0,0,36,20,16,87,20,9,2.4756,0.2750666666666667,0.2603,0.4373,0.4373,0.9721,0.10801111111111111,0.0938,0.2346,0.2346,9,1.5035,0.16705555555555557,0.1799,0.2054,0.2054,completed
2,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,00,16,0,1,16,1,0,0,0,0,0.0,0,0,51,33,18,116,23,4,1.065,0.26625,0.21055000000000001,0.4707,0.4707,0.3951,0.098775,0.06864999999999999,0.2073,0.2073,4,0.6699,0.167475,0.14655,0.2634,0.2634,completed
2,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,5,targets_5_acbba_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,01,16,3,0,17,0,0,0,0,0,0.0,0,0,47,33,14,126,17,5,1.1776,0.23552,0.177,0.348,0.348,0.4607,0.09214,0.0717,0.1512,0.1512,5,0.7169,0.14338,0.1241,0.1968,0.1968,completed
