trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,CBAA,bernoulli,0.3,19,361,4,10,cbaa_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,"(18,9);(8,12);(16,10);(4,10);(6,1);(4,8);(17,1);(3,4);(12,1);(11,9)",10,True,42.336314057923545,42.336314057923545,00:1;01:3;02:5;03:1,"(0,0);(0,6);(0,12);(0,18)","(8,10);(17,1);(18,9);(16,9)",221,0,known_visit_core_500,10,4,8
1,known_visit,CBAA,bernoulli,0.3,19,361,4,10,cbaa_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,"(9,9);(9,6);(3,18);(9,5);(14,0);(8,5);(8,9);(11,12);(11,1);(0,9)",10,True,29.298339245195614,29.298339245195614,00:2;01:2;02:4;03:2,"(0,0);(0,6);(0,12);(0,18)","(15,0);(8,5);(9,5);(11,12)",150,0,known_visit_core_500,10,4,8
2,known_visit,CBAA,bernoulli,0.3,19,361,4,10,cbaa_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,"(4,17);(10,16);(9,5);(17,17);(3,8);(18,18);(16,13);(15,11);(7,16);(6,5)",10,True,48.796013863067856,48.796013863067856,00:4;01:1;02:0;03:5,"(0,0);(0,6);(0,12);(0,18)","(16,13);(13,17);(6,5);(17,13)",254,0,known_visit_core_500,10,4,8
3,known_visit,CBAA,bernoulli,0.3,19,361,4,10,cbaa_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,"(14,6);(10,1);(4,2);(3,12);(6,14);(13,16);(7,14);(4,7);(11,5);(18,16)",10,True,33.33063651623776,33.33063651623776,00:2;01:3;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(11,6);(15,6);(14,13);(18,16)",176,0,known_visit_core_500,10,4,8
4,known_visit,CBAA,bernoulli,0.3,19,361,4,10,cbaa_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,"(18,13);(16,5);(9,7);(2,8);(11,6);(18,6);(16,7);(11,8);(3,7);(2,7)",10,True,53.668520932880845,53.668520932880845,00:0;01:8;02:2;03:0,"(0,0);(0,6);(0,12);(0,18)","(14,7);(18,13);(16,5);(16,7)",288,0,known_visit_core_500,10,4,8
5,known_visit,CBAA,bernoulli,0.3,19,361,4,10,cbaa_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,"(10,6);(13,12);(1,6);(8,16);(7,4);(16,7);(3,7);(2,7);(1,0);(9,17)",10,True,35.531098174881286,35.531098174881286,00:2;01:4;02:1;03:3,"(0,0);(0,6);(0,12);(0,18)","(15,6);(2,0);(16,7);(13,12)",181,0,known_visit_core_500,10,4,8
6,known_visit,CBAA,bernoulli,0.3,19,361,4,10,cbaa_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,"(13,16);(16,8);(6,0);(18,13);(2,8);(6,2);(15,9);(6,3);(1,6);(0,16)",10,True,60.845051464124246,60.845051464124246,00:3;01:6;02:0;03:1,"(0,0);(0,6);(0,12);(0,18)","(1,16);(13,16);(18,13);(7,0)",338,0,known_visit_core_500,10,4,8
7,known_visit,CBAA,bernoulli,0.3,19,361,4,10,cbaa_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,"(13,3);(4,14);(15,5);(10,5);(4,7);(4,3);(3,5);(9,17);(7,4);(6,14)",10,True,45.85423367459803,45.85423367459803,00:4;01:3;02:3;03:0,"(0,0);(0,6);(0,12);(0,18)","(15,5);(11,3);(10,14);(5,5)",260,0,known_visit_core_500,10,4,8
8,known_visit,CBAA,bernoulli,0.3,19,361,4,10,cbaa_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,"(6,4);(7,3);(10,13);(4,15);(1,10);(17,18);(17,9);(8,0);(15,14);(10,16)",10,True,47.2802901187736,47.2802901187736,00:1;01:2;02:4;03:3,"(0,0);(0,6);(0,12);(0,18)","(6,9);(10,13);(17,9);(18,15)",246,0,known_visit_core_500,10,4,8
9,known_visit,CBAA,bernoulli,0.3,19,361,4,10,cbaa_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,"(13,4);(6,17);(10,7);(11,10);(2,3);(18,12);(7,12);(18,3);(16,6);(6,2)",10,True,47.7962160504403,47.7962160504403,00:3;01:2;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(18,7);(6,2);(12,4);(18,12)",246,0,known_visit_core_500,10,4,8
