trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,PI,bernoulli,drop_0.25,14,196,2,10,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(1,3);(11,7);(6,7);(5,8);(6,3);(13,10);(0,8);(0,10);(4,3);(4,9)",10,True,48.893310468702786,48.893310468702786,00:4;01:6,"(0,0);(0,13)","(0,8);(13,10)",139,0,completed
1,known_visit,PI,bernoulli,drop_0.25,14,196,2,10,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(10,8);(3,9);(6,2);(13,10);(10,2);(11,2);(1,5);(11,3);(8,3);(3,4)",10,True,38.44815960329097,38.44815960329097,00:7;01:3,"(0,0);(0,13)","(11,3);(11,10)",101,0,completed
2,known_visit,PI,bernoulli,drop_0.25,14,196,2,10,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(9,5);(1,6);(3,2);(12,7);(9,13);(9,10);(4,1);(2,13);(2,2);(1,11)",10,True,54.88301611624466,54.88301611624466,00:6;01:4,"(0,0);(0,13)","(1,13);(12,7)",142,0,completed
3,known_visit,PI,bernoulli,drop_0.25,14,196,2,10,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(0,12);(7,11);(9,6);(12,13);(1,5);(8,8);(12,6);(5,2);(13,11);(9,8)",10,True,56.95099281834469,56.95099281834469,00:4;01:6,"(0,0);(0,13)","(12,13);(12,6)",164,0,completed
4,known_visit,PI,bernoulli,drop_0.25,14,196,2,10,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(6,0);(12,4);(0,10);(6,10);(10,8);(7,2);(3,0);(2,1);(6,9);(3,5)",10,True,36.53361393389399,36.53361393389399,00:5;01:5,"(0,0);(0,13)","(6,1);(12,4)",97,0,completed
5,known_visit,PI,bernoulli,drop_0.25,14,196,2,10,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(6,3);(11,2);(4,7);(0,7);(8,0);(1,0);(5,12);(10,9);(7,2);(12,5)",10,True,40.80614258429519,40.80614258429519,00:6;01:4,"(0,0);(0,13)","(12,5);(10,9)",106,0,completed
6,known_visit,PI,bernoulli,drop_0.25,14,196,2,10,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(8,9);(2,9);(1,9);(5,3);(2,10);(1,0);(2,0);(1,11);(0,5);(4,6)",10,True,44.298553746497646,44.298553746497646,00:4;01:6,"(0,0);(0,13)","(0,7);(0,5)",114,0,completed
7,known_visit,PI,bernoulli,drop_0.25,14,196,2,10,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(4,0);(2,13);(8,0);(6,13);(4,6);(9,12);(3,0);(6,12);(1,11);(7,9)",10,True,40.140378322834735,40.140378322834735,00:5;01:5,"(0,0);(0,13)","(4,6);(9,8)",104,0,completed
8,known_visit,PI,bernoulli,drop_0.25,14,196,2,10,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(11,5);(1,6);(5,7);(13,5);(4,2);(11,0);(1,7);(8,13);(7,1);(12,13)",10,True,52.28349864819694,52.28349864819694,00:5;01:5,"(0,0);(0,13)","(7,7);(8,13)",137,0,completed
9,known_visit,PI,bernoulli,drop_0.25,14,196,2,10,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(10,8);(8,13);(2,13);(10,6);(13,4);(13,7);(6,7);(9,2);(6,2);(7,9)",10,True,42.38587805135115,42.38587805135115,00:6;01:4,"(0,0);(0,13)","(13,4);(10,2)",111,0,completed
