trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
0,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h8_rayleigh_m50_66,known_visit_10target_300.csv,"(9,10);(8,11);(2,1);(1,7);(17,13);(4,13);(0,11);(5,8);(0,13);(14,9)",10,True,55.85392181352886,55.85392181352886,00:1;01:6;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(12,7);(17,13);(5,13);(7,1)",339,0,known_visit_horizon,commitment_horizon,8,h8,10,4
1,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h8_rayleigh_m50_66,known_visit_10target_300.csv,"(16,15);(17,5);(14,13);(15,3);(13,7);(11,2);(15,16);(16,6);(9,14);(7,16)",10,True,40.10904599448071,40.10904599448071,00:4;01:2;02:1;03:3,"(0,0);(0,6);(0,12);(0,18)","(16,6);(14,13);(14,14);(16,15)",224,0,known_visit_horizon,commitment_horizon,8,h8,10,4
2,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h8_rayleigh_m50_66,known_visit_10target_300.csv,"(0,4);(8,8);(13,2);(0,2);(12,18);(0,9);(16,12);(4,15);(14,2);(12,9)",10,True,73.76423149924005,73.76423149924005,00:4;01:1;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(13,2);(13,5);(16,15);(5,6)",409,0,known_visit_horizon,commitment_horizon,8,h8,10,4
3,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h8_rayleigh_m50_66,known_visit_10target_300.csv,"(15,11);(11,8);(11,16);(7,17);(10,5);(0,15);(0,13);(1,12);(3,14);(2,7)",10,True,37.05567255929285,37.05567255929285,00:1;01:3;02:4;03:2,"(0,0);(0,6);(0,12);(0,18)","(0,13);(15,11);(11,16);(0,11)",215,0,known_visit_horizon,commitment_horizon,8,h8,10,4
4,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h8_rayleigh_m50_66,known_visit_10target_300.csv,"(13,1);(17,14);(8,0);(10,2);(16,10);(4,18);(0,17);(1,0);(12,16);(8,13)",10,True,56.34915861513861,56.34915861513861,00:6;01:1;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(17,14);(8,13);(8,0);(12,8)",323,0,known_visit_horizon,commitment_horizon,8,h8,10,4
5,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h8_rayleigh_m50_66,known_visit_10target_300.csv,"(1,9);(12,6);(16,8);(14,1);(3,5);(8,15);(1,6);(10,6);(16,3);(15,14)",10,True,52.594858552298085,52.594858552298085,00:4;01:4;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(15,14);(12,6);(8,8);(8,15)",336,0,known_visit_horizon,commitment_horizon,8,h8,10,4
6,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h8_rayleigh_m50_66,known_visit_10target_300.csv,"(4,12);(9,2);(4,2);(13,8);(16,13);(6,13);(18,2);(4,8);(0,15);(18,7)",10,True,51.41273996266608,51.41273996266608,00:3;01:1;02:3;03:3,"(0,0);(0,6);(0,12);(0,18)","(18,3);(15,8);(5,2);(18,7)",291,0,known_visit_horizon,commitment_horizon,8,h8,10,4
7,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h8_rayleigh_m50_66,known_visit_10target_300.csv,"(7,3);(17,14);(1,9);(13,14);(10,5);(7,16);(18,15);(16,7);(2,12);(9,2)",10,True,43.62247269920599,43.62247269920599,00:4;01:1;02:5;03:0,"(0,0);(0,6);(0,12);(0,18)","(16,7);(10,9);(18,15);(11,18)",258,0,known_visit_horizon,commitment_horizon,8,h8,10,4
8,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h8_rayleigh_m50_66,known_visit_10target_300.csv,"(4,16);(9,10);(12,8);(12,15);(11,6);(17,7);(0,5);(2,5);(1,5);(17,0)",10,True,56.64031727922335,56.64031727922335,00:3;01:3;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(17,0);(13,5);(4,8);(12,15)",332,0,known_visit_horizon,commitment_horizon,8,h8,10,4
9,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h8_rayleigh_m50_66,known_visit_10target_300.csv,"(12,16);(16,17);(2,7);(18,12);(17,1);(8,2);(9,18);(10,3);(1,4);(1,1)",10,True,51.34639275924601,51.34639275924601,00:5;01:2;02:0;03:3,"(0,0);(0,6);(0,12);(0,18)","(17,1);(12,16);(11,11);(18,12)",306,0,known_visit_horizon,commitment_horizon,8,h8,10,4
