trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
0,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h3_ge_075,known_visit_10target_300.csv,"(9,10);(8,11);(2,1);(1,7);(17,13);(4,13);(0,11);(5,8);(0,13);(14,9)",10,True,48.18962922205011,48.18962922205011,00:2;01:4;02:3;03:1,"(0,0);(0,6);(0,12);(0,18)","(6,11);(17,13);(5,8);(1,7)",262,0,known_visit_horizon,commitment_horizon,3,h3,10,4
1,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h3_ge_075,known_visit_10target_300.csv,"(16,15);(17,5);(14,13);(15,3);(13,7);(11,2);(15,16);(16,6);(9,14);(7,16)",10,True,65.81129760360021,65.81129760360021,00:2;01:3;02:3;03:2,"(0,0);(0,6);(0,12);(0,18)","(13,8);(17,5);(16,6);(14,5)",371,0,known_visit_horizon,commitment_horizon,3,h3,10,4
2,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h3_ge_075,known_visit_10target_300.csv,"(0,4);(8,8);(13,2);(0,2);(12,18);(0,9);(16,12);(4,15);(14,2);(12,9)",10,True,75.94410457672844,75.94410457672844,00:2;01:6;02:2;03:0,"(0,0);(0,6);(0,12);(0,18)","(16,9);(12,18);(15,11);(0,9)",421,0,known_visit_horizon,commitment_horizon,3,h3,10,4
3,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h3_ge_075,known_visit_10target_300.csv,"(15,11);(11,8);(11,16);(7,17);(10,5);(0,15);(0,13);(1,12);(3,14);(2,7)",10,True,37.3830758317141,37.3830758317141,00:1;01:3;02:5;03:1,"(0,0);(0,6);(0,12);(0,18)","(6,14);(15,11);(11,14);(2,13)",207,0,known_visit_horizon,commitment_horizon,3,h3,10,4
4,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h3_ge_075,known_visit_10target_300.csv,"(13,1);(17,14);(8,0);(10,2);(16,10);(4,18);(0,17);(1,0);(12,16);(8,13)",10,True,52.199426040524884,52.199426040524884,00:5;01:1;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(17,14);(2,0);(12,2);(6,18)",288,0,known_visit_horizon,commitment_horizon,3,h3,10,4
5,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h3_ge_075,known_visit_10target_300.csv,"(1,9);(12,6);(16,8);(14,1);(3,5);(8,15);(1,6);(10,6);(16,3);(15,14)",10,True,56.88476053810787,56.88476053810787,00:0;01:7;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(3,3);(14,1);(15,4);(6,9)",337,0,known_visit_horizon,commitment_horizon,3,h3,10,4
6,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h3_ge_075,known_visit_10target_300.csv,"(4,12);(9,2);(4,2);(13,8);(16,13);(6,13);(18,2);(4,8);(0,15);(18,7)",10,True,39.48014398707242,39.48014398707242,00:3;01:3;02:1;03:3,"(0,0);(0,6);(0,12);(0,18)","(18,3);(16,7);(8,2);(16,13)",211,0,known_visit_horizon,commitment_horizon,3,h3,10,4
7,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h3_ge_075,known_visit_10target_300.csv,"(7,3);(17,14);(1,9);(13,14);(10,5);(7,16);(18,15);(16,7);(2,12);(9,2)",10,True,52.983778567922364,52.983778567922364,00:3;01:4;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(10,16);(18,15);(1,9);(13,14)",305,0,known_visit_horizon,commitment_horizon,3,h3,10,4
8,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h3_ge_075,known_visit_10target_300.csv,"(4,16);(9,10);(12,8);(12,15);(11,6);(17,7);(0,5);(2,5);(1,5);(17,0)",10,True,64.575684360724,64.575684360724,00:0;01:7;02:0;03:3,"(0,0);(0,6);(0,12);(0,18)","(8,16);(17,0);(11,6);(12,8)",365,0,known_visit_horizon,commitment_horizon,3,h3,10,4
9,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h3_ge_075,known_visit_10target_300.csv,"(12,16);(16,17);(2,7);(18,12);(17,1);(8,2);(9,18);(10,3);(1,4);(1,1)",10,True,57.679504307651385,57.679504307651385,00:3;01:1;02:2;03:4,"(0,0);(0,6);(0,12);(0,18)","(17,9);(16,14);(17,1);(18,4)",304,0,known_visit_horizon,commitment_horizon,3,h3,10,4
